study_name,sample_id,species,region,flipper_length_mm,body_mass_g,sex
PAL0708,1,Chinstrap penguin (Pygoscelis antarctica),Anvers,192,3500,FEMALE
PAL0708,2,Chinstrap penguin (Pygoscelis antarctica),Anvers,196,3900,MALE
PAL0708,3,Chinstrap penguin (Pygoscelis antarctica),Anvers,193,3650,MALE
PAL0708,4,Chinstrap penguin (Pygoscelis antarctica),Anvers,188,3525,FEMALE
PAL0708,5,Chinstrap penguin (Pygoscelis antarctica),Anvers,197,3725,MALE
PAL0708,6,Chinstrap penguin (Pygoscelis antarctica),Anvers,198,3950,FEMALE
PAL0708,7,Chinstrap penguin (Pygoscelis antarctica),Anvers,178,3250,FEMALE
PAL0708,8,Chinstrap penguin (Pygoscelis antarctica),Anvers,197,3750,MALE
PAL0708,9,Chinstrap penguin (Pygoscelis antarctica),Anvers,195,4150,FEMALE
PAL0708,10,Chinstrap penguin (Pygoscelis antarctica),Anvers,198,3700,MALE
PAL0708,11,Chinstrap penguin (Pygoscelis antarctica),Anvers,193,3800,FEMALE
PAL0708,12,Chinstrap penguin (Pygoscelis antarctica),Anvers,194,3775,MALE
PAL0708,13,Chinstrap penguin (Pygoscelis antarctica),Anvers,185,3700,FEMALE
PAL0708,14,Chinstrap penguin (Pygoscelis antarctica),Anvers,201,4050,MALE
PAL0708,15,Chinstrap penguin (Pygoscelis antarctica),Anvers,190,3575,FEMALE
PAL0708,16,Chinstrap penguin (Pygoscelis antarctica),Anvers,201,4050,MALE
PAL0708,17,Chinstrap penguin (Pygoscelis antarctica),Anvers,197,3300,MALE
PAL0708,18,Chinstrap penguin (Pygoscelis antarctica),Anvers,181,3700,FEMALE
PAL0708,19,Chinstrap penguin (Pygoscelis antarctica),Anvers,190,3450,FEMALE
PAL0708,20,Chinstrap penguin (Pygoscelis antarctica),Anvers,195,4400,MALE
PAL0708,21,Chinstrap penguin (Pygoscelis antarctica),Anvers,181,3600,FEMALE
PAL0708,22,Chinstrap penguin (Pygoscelis antarctica),Anvers,191,3400,MALE
PAL0708,23,Chinstrap penguin (Pygoscelis antarctica),Anvers,187,2900,FEMALE
PAL0708,24,Chinstrap penguin (Pygoscelis antarctica),Anvers,193,3800,MALE
PAL0708,25,Chinstrap penguin (Pygoscelis antarctica),Anvers,195,3300,FEMALE
PAL0708,26,Chinstrap penguin (Pygoscelis antarctica),Anvers,197,4150,MALE
PAL0809,27,Chinstrap penguin (Pygoscelis antarctica),Anvers,200,3400,FEMALE
PAL0809,28,Chinstrap penguin (Pygoscelis antarctica),Anvers,200,3800,MALE
PAL0809,29,Chinstrap penguin (Pygoscelis antarctica),Anvers,191,3700,FEMALE
PAL0809,30,Chinstrap penguin (Pygoscelis antarctica),Anvers,205,4550,MALE
