YEAR,MONTH,DATE,SITE,TRANSECT,TREATMENT,SP_CODE,SIZE,COUNT,AREA,NOTES,SCIENTIFIC_NAME,COMMON_NAME,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,GROUP,SURVEY,MOBILITY,GROWTH_MORPH
2008,10,10/10/08,NAPL,3,CONTROL,SPL,2.5,16,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SPL,3,10,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SPL,3.5,15,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SPL,4,5,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SPL,4.5,6,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SPL,5,3,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SPL,5.5,1,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,2.5,18,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,3,26,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,3.5,10,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,4,3,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,4.5,6,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,5,2,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,5.5,2,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SPL,6,1,80,,Strongylocentrotus purpuratus,Purple Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,2.5,34,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,3,14,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,3.5,13,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,4,8,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,4.5,6,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,5,5,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,5.5,3,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,6,2,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,6.5,2,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,7,3,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,3,CONTROL,SFL,7.5,1,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SFL,2.5,8,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SFL,3,16,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
2008,10,10/10/08,NAPL,9,ANNUAL,SFL,3.5,5,80,,Mesocentrotus franciscanus,Red Urchin,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,INVERT,URCHINS,MOBILE,SOLITARY
